MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202102221335_0042,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.1,16,1965206,5533214,5533214,84758,5085,78020,1088352.650793839,6104540,1.020,1.020,1.009,2522664,0.456,2522664,0.456,0.000005,0.000022,0.000022
Edge,job_202102222248_0119,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.1,16,1134890,2987624,5975248,103191,10955,26978,812760.0436385744,2542712,1.064,1.108,1.665,1437411,0.481,2859234,0.479,0.025364,0.000150,0.000632
Edge,job_202102222248_0151,8,Youtube.vertex,InitializeSampleCC,10,0.01,0.15,4,1134890,2987624,5975248,88718,10985,15374,832137.7543734268,1921116,1.033,1.022,1.308,848504,0.284,1687201,0.282,0.005749,0.000120,0.000082
Edge,job_202102222248_0643,8,RoadItaly.vertex,InitializeSampleCC,5,0.02,0.15,16,6686493,7013978,14027956,134755,11282,119571,2018673.15070288,10093139,1.008,1.010,1.009,5092927,0.726,10184731,0.726,0.000010,0.000007,0.000006
Edge,job_202102222248_0001,8,Youtube.vertex,InitializeSampleCC,5,0.01,0.1,4,1134890,2987624,5975248,86420,10853,15928,842321.9321491416,1892352,1.016,1.020,1.081,830142,0.278,1654329,0.277,0.001559,0.000018,0.000061
Edge,job_202102222248_0545,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.15,4,6686493,7013978,14027956,50748,15002,32332,3055820.02443452,7844028,1.002,1.003,1.002,4075258,0.581,8150721,0.581,0.000000,0.000000,0.000001
Edge,job_202102222248_0400,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.2,8,1134890,2987624,5975248,91188,10928,22783,785988.8875889769,2187293,1.037,1.040,1.427,1127078,0.377,2251019,0.377,0.014289,0.000167,0.000275
Edge,job_202102221335_0292,8,RoadCanada.vertex,InitializeSampleCC,10,0.01,0.2,8,1965206,5533214,5533214,44407,6525,36234,1113760.2242394174,4744730,1.013,1.013,1.016,2447457,0.442,2447457,0.442,0.000014,0.000010,0.000010
Edge,job_202102222248_0414,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.1,8,6686493,7013978,14027956,78917,13848,61643,2285125.479431378,9006272,1.004,1.003,1.006,4851968,0.692,9703128,0.692,0.000004,0.000002,0.000001
Edge,job_202102222248_0055,8,Youtube.vertex,InitializeSampleCC,5,0.015,0.1,8,1134890,2987624,5975248,97253,10527,21246,811123.0846361126,2184799,1.049,1.047,1.424,1225813,0.410,2449982,0.410,0.031459,0.000258,0.000248
Edge,job_202102222248_0376,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.2,4,1134890,2987624,5975248,93836,11272,16019,847245.1750251736,2060828,1.015,1.035,1.215,878159,0.294,1755845,0.294,0.006152,0.000014,0.000109
Edge,job_202102222248_0428,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.1,8,6686493,7013978,14027956,77514,12556,61903,2282327.6171882492,8918644,1.004,1.004,1.005,4859455,0.693,9718678,0.693,0.000004,0.000002,0.000001
Edge,job_202102221335_0365,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.2,4,1965206,5533214,5533214,26875,4603,20646,1163884.7603811778,3640125,1.008,1.008,1.008,2327573,0.421,2327573,0.421,0.000006,0.000005,0.000005
Edge,job_202102222248_0720,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.2,16,6686493,7013978,14027956,140800,24472,112784,1998586.6512168078,9680949,1.006,1.010,1.008,5130753,0.732,10260958,0.731,0.000006,0.000003,0.000004
Edge,job_202102221335_0265,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,8,1965206,5533214,5533214,46100,5881,38809,1117663.7305393028,5030508,1.013,1.013,1.018,2426393,0.439,2426393,0.439,0.000016,0.000012,0.000012
Edge,job_202102221335_0250,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.15,8,1965206,5533214,5533214,41475,4729,35204,1105365.7466827189,4701872,1.012,1.012,1.013,2460251,0.445,2460251,0.445,0.000018,0.000010,0.000010
Edge,job_202102222248_0316,8,Youtube.vertex,InitializeSampleCC,5,0.015,0.2,4,1134890,2987624,5975248,93855,10833,18682,871239.3127040793,1918786,1.031,1.014,1.200,853985,0.286,1708406,0.286,0.003058,0.000206,0.000035
Edge,job_202102222248_0342,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.2,16,1134890,2987624,5975248,87182,10360,11898,783796.3425158323,2293631,1.043,1.086,1.470,1786565,0.598,3558694,0.596,0.029937,0.000172,0.001305
Edge,job_202102221335_0223,8,RoadCanada.vertex,InitializeSampleCC,15,0.015,0.15,16,1965206,5533214,5533214,79219,7569,70058,1085317.891474477,5762553,1.018,1.018,1.017,2530866,0.457,2530866,0.457,0.000024,0.000022,0.000022
Edge,job_202102222248_0346,8,Youtube.vertex,InitializeSampleCC,15,0.015,0.2,4,1134890,2987624,5975248,88414,10344,15948,843689.1472418241,2033702,1.014,1.029,1.034,810790,0.271,1622776,0.272,0.000375,0.000014,0.000090
Edge,job_202102222248_0056,8,Youtube.vertex,InitializeSampleCC,5,0.015,0.1,16,1134890,2987624,5975248,104715,11032,30950,852082.1513167307,2682360,1.113,1.095,1.471,1362590,0.456,2722658,0.456,0.034065,0.000345,0.000511
