MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_0600,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.15,16,1965206,5533214,5533214,77123,2576,72149,1095722.938000183,5809437,1.018,1.018,1.026,2509432,0.454,2509432,0.454,0.000024,0.000019,0.000019
Edge,job_202101261615_0565,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.2,4,1965206,5533214,5533214,22480,3826,18106,1178658.6145080316,3644820,1.007,1.007,1.002,2285395,0.413,2285395,0.413,0.000000,0.000004,0.000004
Edge,job_202101261615_0504,8,RoadCanada.vertex,InitializeSampleRD,10,0.015,0.1,16,1965206,5533214,5533214,75339,3166,71509,1090292.7033334319,5799499,1.017,1.017,1.015,2518331,0.455,2518331,0.455,0.000013,0.000019,0.000019
Edge,job_202101261615_0451,8,Youtube.vertex,InitializeSampleGD,15,0.015,0.15,4,1134890,2987624,5975248,20100,2668,15478,830586.7974102587,2085305,1.018,1.011,1.225,901834,0.302,1801532,0.301,0.005688,0.000058,0.000020
Edge,job_202101261615_0426,8,Youtube.vertex,InitializeSampleGD,15,0.015,0.1,16,1134890,2987624,5975248,36075,2497,31704,768794.4411459321,2453970,1.051,1.083,1.489,1387274,0.464,2771269,0.464,0.029284,0.000205,0.000443
Edge,job_202101261615_0554,8,RoadCanada.vertex,InitializeSampleRD,5,0.015,0.2,8,1965206,5533214,5533214,39126,3737,34852,1112291.0293327316,4755245,1.010,1.010,1.012,2448537,0.443,2448537,0.443,0.000007,0.000007,0.000007
Edge,job_202101261615_0415,8,Youtube.vertex,InitializeSampleGD,15,0.01,0.1,4,1134890,2987624,5975248,18906,2943,14110,789736.0925885664,2014220,1.037,1.033,1.144,906710,0.303,1809416,0.303,0.002015,0.000202,0.000145
Edge,job_202101261615_0621,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.15,16,1965206,5533214,5533214,78130,2902,73007,1098847.3645706624,5931006,1.019,1.019,1.026,2495605,0.451,2495605,0.451,0.000039,0.000024,0.000024
Edge,job_202101261615_0702,8,RoadCanada.vertex,InitializeSampleGD,10,0.02,0.15,16,1965206,5533214,5533214,78851,4633,71969,1097358.6566186978,5868842,1.017,1.017,1.009,2500135,0.452,2500135,0.452,0.000006,0.000017,0.000017
Edge,job_202101261615_0467,8,Youtube.vertex,InitializeSampleGD,10,0.01,0.2,8,1134890,2987624,5975248,25118,2640,20456,779482.8953646783,2200388,1.039,1.032,1.306,1172974,0.393,2340633,0.392,0.013388,0.000163,0.000072
Edge,job_202101261615_0379,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.15,4,1134890,2987624,5975248,20419,2593,15977,855657.8937878315,1961145,1.016,1.037,1.245,874253,0.293,1747339,0.292,0.004945,0.000030,0.000104
Edge,job_202101261615_0628,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.2,4,1965206,5533214,5533214,25227,3246,19746,1166538.3696999669,3757143,1.006,1.006,1.011,2325678,0.420,2325678,0.420,0.000011,0.000003,0.000003
